Niyati Khatr| If a girl doesn't regret doing porn after reaching at such fame heights she could say she feels bad about it so that she can stop other girls from taking such step in porn industries but she is proudly saying she did it cause she liked doing it.. so would u guys who are commenting on sunny 's behalf would let ur mother sister do the same if they would like to do it too? Even I m Sunny fan I respect women's but at the same time girls in India are getting influence by her into working in porn due to support of such boldness by celebs if she would just say she regrets doing it then it would just save many girls thinking to go that way. every women in India has Right to wear what they want and what they want to speak but supporting such acts like no regret after porn are destroying youth girls of India and even divorced women . There are many more way to make money would u like ur mother or sister do such jobs like porn happily? and support them.  she should encourage by saying she don't regret as this statements would get many girls spoil their life as not everyone can get as successful sunny got after porn.. girl of India or any other county its a request please dont get fascinated by  such girls they are actually sad with their life. And sunny's husband let other mans have sex with her for a lot of money do u think that is  love between them? this culture is promoting to due to such basturds...
Ritu Biswas| Bloody asshole when you're sitting for an interview and asking questions to the person have gutts to let the person answer and listen to that. Ch**iya, the people you're judging by their occupation have far more gutts than you. Didn't your parents teach you in childhood that no work is shameful if it's not harmful? Infact she's doing a great job, she's an entertainer. She's not hurting anyone, rather doing the job of spreading pleasure. And that's not a sin. Infact what you're doing is shameful to humanity, you're hurting a person by your offensive questions which definately seems to be a result of your sick mentality. People like you deserves abuses.I wish you read this comment.
Beautiful life| Why did the interviwer always focus on her negative points
Panshul Jetwani| You're fucking judgemental
Yusra| Sunny you Are a Really strong Woman ❤ I wish You Slapped Him In front Of Everyone.. bloody loser He IS.
Sameer Sonawale| 10:30 I am I am I am I am  😂😂😂
Gary Griffin| Who hired this arsehole
mukul chaudhary| sunny leone.....u have my respect.....fuck this interview guy whose name i even dont know
Eti Kothaa| I just wanted to slap him on the face for every single qsn. he was intentionally insulting her
anni hulang| Love you sunny Leone. You so graceful. Keep shining
Navkiran Bhaika| I really admire the strong and elegant manner in which Sunny Leone replies to the questions. And to the anchor, I would like to ask him that how many Indian movies from 2016 till now had main female leads clad in head to toe saree throughout the movie?
Abdul Qaliq| Saale takle gandu abe chanel walo  isku naukri se nikaldo...
Adnan Tarique| Asshole person
JERNAIL SINGH| Her every answer was 10 on 10.
patil dinesh| *pride and prejudice*
The VinesWalah| Luk at the dislikes
komal kumar| He is so ugly,inside n outside. And i sense he can die on one of his shows. Sunny is so so calm and composed. She's so professional,  haha he tried being so nasty and dramatic, yikes!
Srikara 2| Fucker is this the way to talk to a human?  He is pushing her to cry. She still has her rights.
Tripti Ranjan| M sure now the reporter will do some research n read abt himself what ppl really think of him. Cheap mentality personRespect sunny☺️
Walter K Bauer| Karenjit owned this fagget's interview.He so scared she knows she's a strong woman and doesn't know what to do with himself.This one won't work with you? Ok that's on them. Not her.Their fragile pussies just as the interviewer is!Nut up!
